Business_Sector,Business_Subsector,Business_Model,Ownership_Type,Registration_Year,Duration_Operation,Business_Age,Initial_Capital,Num_Employees,Location,Owner_Age,Owner_Gender,Business_Type,Growth_Indicator,Business_Status
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Service-based,Limited Company,2019,6,6,4232420,25,Musanze,55,Female,Startup,0.41,Operating
Public Administration & Defense,Government services,Service-based,Limited Company,2010,15,15,6905119,44,Rwamagana,19,Female,SME,-0.13,Operating
Public Administration & Defense,Security & defense institutions,Service-based,Cooperative,2025,0,0,9446406,34,Rwamagana,35,Male,Micro-enterprise,0.21,Closed
Hospitality & Tourism,Conference & events (MICE industry),Product-based,Sole Proprietorship,2017,8,8,528480,3,Nyagatare,41,Male,Micro-enterprise,0.3,Operating
Public Administration & Defense,Security & defense institutions,Hybrid,Cooperative,2004,21,0,6715842,2,Rwamagana,38,Male,SME,-0.07,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Hybrid,Partnership,2002,23,0,3069575,11,Musanze,46,Female,Startup,-0.02,Operating
Manufacturing,Paper & printing,Hybrid,Sole Proprietorship,2025,0,0,19194899,20,Nyagatare,26,Female,Micro-enterprise,0.33,Operating
Construction & Real Estate,Road construction & maintenance,Hybrid,Cooperative,2002,23,23,18541835,19,Rusizi,60,Female,Micro-enterprise,0.12,Closed
Construction & Real Estate,Real estate development & property management,Hybrid,Cooperative,2020,5,5,18455859,3,Nyagatare,53,Female,Startup,0.46,Operating
Professional & Business Services,"Advertising, media & marketing",Product-based,Sole Proprietorship,2006,19,19,6240676,4,Kigali,53,Male,SME,-0.01,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Product-based,Partnership,2003,22,22,3215704,36,Huye,43,Male,Startup,0,Operating
Financial & Insurance Services,Banking (commercial & microfinance),Service-based,Cooperative,2021,4,0,6722402,27,Rubavu,23,Male,Startup,0.16,Operating
Education & Training,EdTech platforms,Product-based,Limited Company,2016,9,9,184912,44,Kigali,24,Male,Micro-enterprise,-0.1,Operating
Education & Training,Universities & research centers,Product-based,Sole Proprietorship,2004,21,21,3797940,35,Kigali,29,Male,Micro-enterprise,-0.12,Operating
"Agriculture, Forestry & Fishing","Livestock farming (cattle, goats, poultry, pigs, rabbits, fish)",Product-based,Partnership,2001,24,24,1118322,41,Rwamagana,24,Male,Micro-enterprise,-0.05,Operating
Manufacturing,Paper & printing,Hybrid,Cooperative,2023,2,2,16873657,8,Kigali,53,Female,SME,0.39,Operating
Construction & Real Estate,Road construction & maintenance,Product-based,Sole Proprietorship,2022,3,0,8382964,8,Rubavu,45,Female,Startup,0.43,Operating
Construction & Real Estate,Real estate development & property management,Service-based,Limited Company,2004,21,21,14808920,19,Kigali,55,Female,SME,0.1,Operating
Public Administration & Defense,Government services,Product-based,Limited Company,2014,11,11,361882,46,Rubavu,34,Female,Startup,-0.15,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Hybrid,Cooperative,2017,8,8,8139998,46,Kigali,36,Female,Micro-enterprise,0.23,Operating
Energy & Utilities,Renewable energy technologies,Hybrid,Cooperative,2020,5,5,14599535,19,Musanze,41,Male,Startup,0.12,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Service-based,Limited Company,2023,2,2,7143147,14,Kigali,31,Male,Micro-enterprise,-0.01,Operating
Energy & Utilities,Renewable energy technologies,Product-based,Cooperative,2021,4,4,6291626,36,Rusizi,29,Male,Micro-enterprise,-0.03,Operating
Wholesale & Retail Trade,E-commerce & distribution,Service-based,Sole Proprietorship,2004,21,21,4744906,13,Kigali,57,Female,SME,0.24,Operating
Hospitality & Tourism,Conference & events (MICE industry),Product-based,Limited Company,2024,1,1,4202653,10,Rusizi,41,Female,SME,-0.03,Operating
"Arts, Entertainment & Recreation","Music, events & performing arts",Product-based,Cooperative,2015,10,0,7211346,3,Kigali,29,Male,SME,0.1,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Service-based,Limited Company,2018,7,7,8628607,46,Huye,36,Female,Micro-enterprise,0.06,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Service-based,Limited Company,2004,21,21,3309291,44,Nyagatare,34,Female,Micro-enterprise,0.04,Operating
Professional & Business Services,Management consulting & advisory,Service-based,Limited Company,2003,22,22,3256458,29,Kigali,19,Female,Micro-enterprise,-0.18,Operating
Health & Social Work,Health insurance providers,Service-based,Sole Proprietorship,2020,5,5,1665840,42,Rubavu,55,Male,SME,0.08,Operating
Construction & Real Estate,Real estate development & property management,Hybrid,Cooperative,2015,10,10,19830922,5,Rusizi,24,Male,Micro-enterprise,0.41,Operating
Public Administration & Defense,Government services,Service-based,Sole Proprietorship,2016,9,9,5425973,5,Kigali,43,Female,Micro-enterprise,-0.02,Operating
"Agriculture, Forestry & Fishing","Crop farming (coffee, tea, maize, rice, beans, vegetables, fruits)",Hybrid,Limited Company,2000,25,25,3139412,33,Nyagatare,38,Male,SME,-0.01,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Service-based,Cooperative,2007,18,18,6920746,32,Rusizi,26,Male,Micro-enterprise,0.4,Operating
Information & Communication Technology (ICT),Data centers & cloud services,Product-based,Cooperative,2016,9,0,3133453,13,Rubavu,26,Male,Startup,-0.02,Operating
Information & Communication Technology (ICT),Data centers & cloud services,Hybrid,Sole Proprietorship,2013,12,12,3386054,38,Rwamagana,33,Female,Micro-enterprise,0.45,Operating
Education & Training,Universities & research centers,Hybrid,Partnership,2006,19,19,376312,45,Rusizi,25,Male,Micro-enterprise,-0.05,Operating
Information & Communication Technology (ICT),"Software development, IT services & startups",Service-based,Cooperative,2001,24,24,1814180,7,Rubavu,62,Female,Micro-enterprise,0.12,Closed
Nonprofit & Community Organizations,Charities & associations,Product-based,Partnership,2012,13,13,8946653,30,Rusizi,27,Female,Micro-enterprise,0.38,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Service-based,Limited Company,2008,17,17,3680137,37,Rusizi,24,Male,SME,-0.18,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Hybrid,Cooperative,2005,20,20,3776356,41,Musanze,27,Female,Startup,0.21,Operating
Nonprofit & Community Organizations,Charities & associations,Hybrid,Limited Company,2005,20,20,9831022,23,Musanze,32,Male,Micro-enterprise,-0.03,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Service-based,Cooperative,2011,14,0,9495995,43,Huye,22,Male,SME,-0.08,Operating
Public Administration & Defense,Government services,Product-based,Partnership,2017,8,8,3940125,37,Rusizi,64,Female,Startup,0.22,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Hybrid,Cooperative,2011,14,14,9792290,1,Nyagatare,20,Female,Micro-enterprise,0.12,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Product-based,Partnership,2013,12,12,4490919,28,Huye,24,Male,SME,0.01,Operating
Education & Training,Vocational & technical training (TVET),Service-based,Cooperative,2008,17,17,1948397,27,Musanze,53,Male,SME,0.35,Operating
Manufacturing,Pharmaceutical & medical products,Service-based,Partnership,2006,19,0,3379626,14,Rusizi,41,Female,Startup,0.43,Operating
Public Administration & Defense,Government services,Product-based,Limited Company,2010,15,15,906152,17,Nyagatare,51,Female,SME,0.23,Closed
Health & Social Work,NGOs & community health services,Hybrid,Cooperative,2015,10,10,9396112,10,Huye,60,Female,Startup,0.47,Operating
Hospitality & Tourism,Conference & events (MICE industry),Service-based,Partnership,2018,7,7,5674868,32,Musanze,31,Female,SME,0.48,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Partnership,2018,7,7,12397479,41,Rubavu,35,Female,Micro-enterprise,-0.04,Closed
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Product-based,Limited Company,2011,14,14,5666646,20,Kigali,27,Female,Startup,-0.04,Operating
Wholesale & Retail Trade,E-commerce & distribution,Hybrid,Cooperative,2018,7,7,705055,5,Rwamagana,30,Female,SME,-0.18,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Hybrid,Partnership,2019,6,6,6331419,15,Rubavu,48,Male,SME,0.17,Closed
Financial & Insurance Services,Savings & credit cooperatives (SACCOs),Hybrid,Partnership,2005,20,20,4311741,22,Huye,24,Male,Micro-enterprise,-0.12,Operating
"Arts, Entertainment & Recreation",Gaming & leisure activities,Product-based,Limited Company,2017,8,8,5707957,45,Nyagatare,29,Male,Micro-enterprise,-0.17,Operating
Information & Communication Technology (ICT),Data centers & cloud services,Hybrid,Sole Proprietorship,2022,3,0,8040142,23,Rwamagana,22,Female,SME,0.34,Operating
Wholesale & Retail Trade,E-commerce & distribution,Service-based,Sole Proprietorship,2024,1,1,794994,42,Rubavu,63,Male,Startup,0.36,Operating
"Arts, Entertainment & Recreation",Gaming & leisure activities,Product-based,Partnership,2025,0,0,4180610,25,Huye,28,Female,SME,0.08,Operating
Construction & Real Estate,Building & civil engineering works,Hybrid,Sole Proprietorship,2024,1,1,5890531,38,Musanze,19,Male,SME,0.06,Operating
Transport & Logistics,Rail (future projects),Product-based,Partnership,2012,13,13,3503723,9,Musanze,33,Female,Micro-enterprise,-0.06,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Service-based,Partnership,2024,1,1,5924614,37,Musanze,48,Male,SME,0.07,Operating
Information & Communication Technology (ICT),"Software development, IT services & startups",Hybrid,Limited Company,2017,8,8,2280497,13,Rubavu,45,Male,Micro-enterprise,0.15,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Service-based,Limited Company,2005,20,20,5031067,33,Nyagatare,47,Female,Startup,-0.03,Operating
Nonprofit & Community Organizations,Religious organizations,Service-based,Cooperative,2015,10,10,4415735,3,Huye,63,Female,SME,0.26,Operating
Nonprofit & Community Organizations,Religious organizations,Service-based,Partnership,2006,19,19,5931092,1,Musanze,45,Male,Startup,0.06,Operating
Manufacturing,"Chemicals, plastics, rubber, paints",Hybrid,Partnership,2014,11,11,8263204,36,Huye,39,Female,SME,0.4,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Hybrid,Limited Company,2005,20,20,7247083,49,Rwamagana,29,Male,Startup,0.34,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Product-based,Cooperative,2025,0,0,17008711,39,Rwamagana,64,Male,Startup,0.29,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Service-based,Partnership,2023,2,2,1769943,12,Nyagatare,41,Female,Micro-enterprise,0.22,Operating
Nonprofit & Community Organizations,Religious organizations,Hybrid,Partnership,2025,0,0,267013,47,Musanze,49,Female,Micro-enterprise,-0.17,Operating
Energy & Utilities,Water supply & waste management,Hybrid,Sole Proprietorship,2021,4,4,4652102,15,Huye,20,Male,SME,0.16,Operating
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Service-based,Partnership,2017,8,8,3009407,41,Musanze,58,Female,SME,0.4,Operating
Education & Training,Vocational & technical training (TVET),Service-based,Cooperative,2004,21,21,3237556,9,Rubavu,50,Male,SME,0.34,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Hybrid,Limited Company,2017,8,8,10830605,40,Nyagatare,20,Female,Micro-enterprise,-0.18,Operating
Public Administration & Defense,Security & defense institutions,Service-based,Cooperative,2023,2,2,4121400,27,Rusizi,50,Female,Micro-enterprise,0.16,Operating
Health & Social Work,Health insurance providers,Service-based,Cooperative,2020,5,5,3248395,11,Rusizi,35,Male,SME,-0.03,Operating
Mining & Quarrying,Gold,Service-based,Cooperative,2017,8,8,17037382,42,Rubavu,25,Male,Startup,0.33,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Service-based,Sole Proprietorship,2023,2,2,3159677,30,Nyagatare,42,Male,Startup,0.29,Closed
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Limited Company,2023,2,2,10900653,22,Rusizi,32,Male,Micro-enterprise,0.09,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Product-based,Sole Proprietorship,2024,1,1,7706935,16,Rubavu,61,Female,Startup,-0.06,Closed
Transport & Logistics,"Logistics, warehousing & courier services",Product-based,Partnership,2003,22,22,4804420,10,Rubavu,55,Male,SME,-0.18,Closed
Health & Social Work,NGOs & community health services,Service-based,Partnership,2022,3,3,478456,32,Rwamagana,33,Male,Startup,0.13,Closed
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Product-based,Cooperative,2023,2,2,3680231,17,Nyagatare,53,Male,SME,-0.02,Operating
Information & Communication Technology (ICT),"Software development, IT services & startups",Service-based,Sole Proprietorship,2008,17,17,5269098,21,Rubavu,26,Male,Startup,0.37,Operating
Financial & Insurance Services,Banking (commercial & microfinance),Product-based,Partnership,2012,13,13,3995289,11,Huye,27,Male,Startup,-0.05,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Hybrid,Cooperative,2018,7,7,2924266,8,Rusizi,23,Female,SME,0.05,Operating
Construction & Real Estate,Real estate development & property management,Service-based,Cooperative,2021,4,4,17270240,15,Rubavu,19,Male,Startup,0.25,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Service-based,Cooperative,2018,7,7,4776740,44,Musanze,42,Female,SME,0.36,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Product-based,Sole Proprietorship,2015,10,0,4232713,45,Huye,47,Male,Startup,0.49,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Product-based,Cooperative,2016,9,9,6866846,21,Rubavu,48,Female,Startup,0.23,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Product-based,Cooperative,2005,20,20,14930231,28,Rubavu,53,Female,Micro-enterprise,0.18,Operating
Hospitality & Tourism,Travel agencies & tour operators,Product-based,Partnership,2013,12,12,1988576,9,Rusizi,53,Male,SME,0.29,Closed
Energy & Utilities,Renewable energy technologies,Hybrid,Cooperative,2004,21,21,4734537,10,Musanze,56,Male,Startup,0.08,Closed
Professional & Business Services,"Legal, auditing & accounting firms",Product-based,Limited Company,2019,6,6,5988701,46,Nyagatare,24,Female,Startup,-0.07,Operating
Hospitality & Tourism,Travel agencies & tour operators,Hybrid,Cooperative,2021,4,4,6674430,8,Nyagatare,49,Female,Startup,0.43,Operating
Construction & Real Estate,Road construction & maintenance,Service-based,Partnership,2021,4,4,10877965,25,Huye,56,Female,Startup,0.46,Operating
Public Administration & Defense,Security & defense institutions,Product-based,Cooperative,2004,21,21,2066956,18,Nyagatare,54,Male,SME,0.48,Operating
"Agriculture, Forestry & Fishing","Crop farming (coffee, tea, maize, rice, beans, vegetables, fruits)",Hybrid,Limited Company,2005,20,20,4270833,27,Rusizi,40,Male,SME,0.23,Operating
Health & Social Work,NGOs & community health services,Product-based,Cooperative,2004,21,21,1503192,49,Musanze,42,Male,SME,0.3,Operating
Nonprofit & Community Organizations,Charities & associations,Product-based,Limited Company,2015,10,10,934464,16,Rusizi,24,Male,Micro-enterprise,-0.13,Operating
Education & Training,Universities & research centers,Hybrid,Sole Proprietorship,2003,22,22,2848795,11,Musanze,40,Female,Startup,0,Operating
Information & Communication Technology (ICT),Data centers & cloud services,Service-based,Partnership,2018,7,7,4237189,26,Kigali,20,Male,Startup,-0.12,Closed
Education & Training,EdTech platforms,Hybrid,Cooperative,2009,16,16,3022079,45,Huye,37,Male,Startup,0.28,Operating
"Agriculture, Forestry & Fishing","Livestock farming (cattle, goats, poultry, pigs, rabbits, fish)",Service-based,Limited Company,2006,19,19,408450,11,Rubavu,46,Female,Micro-enterprise,-0.03,Operating
Transport & Logistics,"Logistics, warehousing & courier services",Service-based,Sole Proprietorship,2022,3,3,7569896,6,Musanze,40,Female,Micro-enterprise,-0.02,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Hybrid,Partnership,2014,11,11,2738226,33,Rubavu,29,Female,SME,-0.01,Closed
Education & Training,Universities & research centers,Service-based,Limited Company,2006,19,19,3254803,39,Rwamagana,44,Male,SME,0.23,Closed
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Hybrid,Sole Proprietorship,2005,20,20,1755442,44,Kigali,54,Male,Micro-enterprise,0.07,Closed
Nonprofit & Community Organizations,Charities & associations,Hybrid,Limited Company,2004,21,21,2214893,47,Nyagatare,39,Male,Micro-enterprise,-0.18,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Service-based,Sole Proprietorship,2005,20,20,2976815,43,Rwamagana,36,Female,SME,0.44,Operating
Financial & Insurance Services,Savings & credit cooperatives (SACCOs),Service-based,Partnership,2007,18,18,1860762,11,Rwamagana,49,Female,Startup,0.35,Operating
Wholesale & Retail Trade,E-commerce & distribution,Hybrid,Cooperative,2005,20,20,3363552,10,Rubavu,63,Male,Startup,0.43,Closed
Nonprofit & Community Organizations,Religious organizations,Product-based,Sole Proprietorship,2016,9,9,5027257,49,Musanze,39,Female,Micro-enterprise,0.02,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Hybrid,Sole Proprietorship,2011,14,14,1359066,3,Rwamagana,57,Female,Startup,0.4,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Hybrid,Limited Company,2022,3,3,1244772,38,Musanze,46,Male,Startup,0.21,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Hybrid,Limited Company,2024,1,1,1008606,7,Rubavu,35,Male,Micro-enterprise,0.38,Operating
Financial & Insurance Services,Banking (commercial & microfinance),Service-based,Sole Proprietorship,2004,21,21,7663858,2,Nyagatare,48,Male,Micro-enterprise,0.17,Operating
Health & Social Work,NGOs & community health services,Service-based,Limited Company,2014,11,11,9417021,33,Huye,39,Male,SME,0.07,Operating
Professional & Business Services,"Advertising, media & marketing",Product-based,Partnership,2016,9,9,6488404,31,Huye,47,Female,Micro-enterprise,0.44,Operating
Information & Communication Technology (ICT),"Software development, IT services & startups",Hybrid,Sole Proprietorship,2005,20,20,9891025,30,Rubavu,42,Female,SME,-0.15,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Product-based,Sole Proprietorship,2014,11,11,7169813,24,Musanze,25,Female,Startup,-0.13,Closed
Wholesale & Retail Trade,E-commerce & distribution,Hybrid,Partnership,2001,24,24,448427,31,Rwamagana,38,Male,SME,0.1,Operating
Education & Training,EdTech platforms,Service-based,Limited Company,2023,2,0,1479832,26,Rusizi,46,Female,Micro-enterprise,-0.01,Operating
Public Administration & Defense,Government services,Product-based,Partnership,2007,18,18,3308076,49,Nyagatare,56,Male,Startup,-0.01,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Service-based,Limited Company,2007,18,18,6297927,29,Rwamagana,22,Female,Micro-enterprise,-0.12,Operating
Manufacturing,Paper & printing,Hybrid,Cooperative,2006,19,19,7529816,21,Rwamagana,55,Male,SME,-0.02,Operating
Health & Social Work,Health insurance providers,Product-based,Limited Company,2015,10,10,1123004,46,Huye,29,Male,Micro-enterprise,0.23,Operating
Education & Training,EdTech platforms,Product-based,Cooperative,2010,15,15,1052339,33,Huye,62,Female,Startup,0.39,Operating
Professional & Business Services,Security services,Service-based,Limited Company,2000,25,25,8528361,12,Rwamagana,45,Male,SME,0.39,Operating
Construction & Real Estate,Road construction & maintenance,Hybrid,Cooperative,2001,24,24,3447958,46,Rwamagana,43,Male,Startup,-0.15,Operating
Nonprofit & Community Organizations,Charities & associations,Product-based,Partnership,2025,0,0,9205911,48,Nyagatare,37,Female,Startup,0.37,Closed
"Agriculture, Forestry & Fishing","Livestock farming (cattle, goats, poultry, pigs, rabbits, fish)",Hybrid,Limited Company,2008,17,17,2398653,44,Kigali,37,Female,Micro-enterprise,0.39,Closed
Information & Communication Technology (ICT),Data centers & cloud services,Product-based,Cooperative,2000,25,25,2917324,45,Huye,20,Female,Micro-enterprise,0.27,Operating
Education & Training,Universities & research centers,Product-based,Cooperative,2019,6,6,2907179,16,Rwamagana,26,Female,Micro-enterprise,-0.08,Operating
Public Administration & Defense,Government services,Product-based,Limited Company,2023,2,2,2489099,36,Rusizi,38,Female,SME,0.48,Operating
Professional & Business Services,Management consulting & advisory,Product-based,Sole Proprietorship,2000,25,25,8046574,49,Rwamagana,53,Male,Micro-enterprise,0.49,Operating
Wholesale & Retail Trade,E-commerce & distribution,Service-based,Cooperative,2022,3,3,4150130,39,Rubavu,28,Male,Micro-enterprise,0.16,Operating
Energy & Utilities,Water supply & waste management,Product-based,Partnership,2006,19,19,10680850,34,Rwamagana,45,Male,Micro-enterprise,0.4,Closed
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Service-based,Partnership,2017,8,8,3695494,24,Rusizi,33,Male,SME,0.43,Operating
Manufacturing,Pharmaceutical & medical products,Hybrid,Cooperative,2024,1,1,13063370,11,Kigali,61,Female,Startup,-0.17,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Product-based,Sole Proprietorship,2018,7,7,237790,11,Rubavu,19,Male,Startup,-0.16,Closed
"Arts, Entertainment & Recreation",Gaming & leisure activities,Product-based,Limited Company,2018,7,7,2439567,30,Rwamagana,64,Male,Startup,0.19,Operating
Financial & Insurance Services,Savings & credit cooperatives (SACCOs),Product-based,Cooperative,2008,17,17,4466086,3,Nyagatare,39,Female,Micro-enterprise,0.3,Operating
Hospitality & Tourism,Travel agencies & tour operators,Product-based,Cooperative,2008,17,17,3683841,11,Rusizi,47,Male,Micro-enterprise,0.49,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Product-based,Partnership,2011,14,14,2722869,38,Rwamagana,63,Female,Micro-enterprise,-0.04,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Service-based,Sole Proprietorship,2021,4,4,9099648,32,Huye,19,Male,Micro-enterprise,0.16,Closed
Information & Communication Technology (ICT),"FinTech (mobile money, digital banking solutions)",Service-based,Limited Company,2004,21,21,5867711,25,Musanze,46,Female,Micro-enterprise,0.31,Operating
Education & Training,Universities & research centers,Hybrid,Limited Company,2008,17,17,3424473,28,Huye,24,Female,Startup,0.15,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Hybrid,Cooperative,2003,22,22,8535785,9,Rwamagana,38,Male,SME,-0.18,Operating
Energy & Utilities,Water supply & waste management,Hybrid,Cooperative,2002,23,23,14510714,22,Rusizi,57,Female,Startup,0.16,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Product-based,Cooperative,2012,13,13,6341889,5,Rwamagana,61,Male,SME,-0.16,Operating
Mining & Quarrying,Gold,Service-based,Partnership,2021,4,4,10940129,13,Huye,48,Male,SME,0.14,Operating
Construction & Real Estate,Road construction & maintenance,Service-based,Partnership,2015,10,10,12087023,45,Huye,36,Female,Startup,-0.09,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Hybrid,Sole Proprietorship,2014,11,11,8384987,32,Nyagatare,38,Female,Startup,0.45,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Limited Company,2008,17,0,13958925,16,Rusizi,64,Male,Micro-enterprise,0.04,Operating
Wholesale & Retail Trade,E-commerce & distribution,Product-based,Partnership,2011,14,14,3712868,8,Nyagatare,61,Male,Micro-enterprise,0.43,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Product-based,Sole Proprietorship,2010,15,15,16933770,26,Rusizi,22,Male,SME,0.26,Operating
Professional & Business Services,"Advertising, media & marketing",Service-based,Limited Company,2018,7,7,6708019,7,Rwamagana,58,Male,Startup,-0.13,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Hybrid,Limited Company,2016,9,9,2617567,48,Rusizi,23,Male,Micro-enterprise,0.26,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Service-based,Sole Proprietorship,2025,0,0,7508180,16,Huye,49,Female,Micro-enterprise,0.2,Operating
Construction & Real Estate,Building & civil engineering works,Product-based,Sole Proprietorship,2019,6,0,4747263,28,Nyagatare,20,Male,SME,-0.14,Operating
Financial & Insurance Services,"Capital markets, investment funds",Hybrid,Cooperative,2022,3,3,1480647,26,Huye,37,Female,Micro-enterprise,-0.2,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Service-based,Limited Company,2008,17,17,4222034,47,Nyagatare,63,Female,Startup,-0.16,Operating
Health & Social Work,NGOs & community health services,Hybrid,Limited Company,2003,22,22,6915913,5,Musanze,39,Male,SME,0.16,Operating
"Arts, Entertainment & Recreation",Media & film industry,Product-based,Sole Proprietorship,2023,2,2,2348402,28,Rwamagana,23,Female,Startup,0.37,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Service-based,Limited Company,2022,3,3,9891837,30,Nyagatare,22,Female,Startup,-0.08,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Service-based,Cooperative,2007,18,18,16559733,2,Rubavu,23,Female,Micro-enterprise,-0.1,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Hybrid,Cooperative,2007,18,18,3772191,38,Kigali,28,Male,Startup,-0.09,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Hybrid,Cooperative,2012,13,13,2999576,15,Rwamagana,52,Female,Micro-enterprise,-0.2,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Product-based,Cooperative,2018,7,7,7195918,28,Huye,22,Male,SME,0.45,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Hybrid,Cooperative,2023,2,2,9335096,19,Rubavu,24,Male,Startup,0.43,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Product-based,Sole Proprietorship,2000,25,25,2837499,34,Huye,56,Male,Startup,-0.13,Operating
Public Administration & Defense,Government services,Hybrid,Sole Proprietorship,2003,22,22,6408189,12,Nyagatare,47,Male,SME,0.41,Operating
Education & Training,Vocational & technical training (TVET),Service-based,Partnership,2024,1,1,1509727,4,Nyagatare,61,Female,Startup,0.19,Operating
Nonprofit & Community Organizations,Religious organizations,Hybrid,Sole Proprietorship,2023,2,2,272053,18,Nyagatare,55,Male,SME,0.19,Closed
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Service-based,Partnership,2015,10,10,11747545,37,Rwamagana,45,Male,Micro-enterprise,0.38,Operating
Financial & Insurance Services,"Capital markets, investment funds",Hybrid,Partnership,2022,3,3,808659,34,Huye,27,Male,Startup,-0.07,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Hybrid,Limited Company,2004,21,21,4038130,2,Nyagatare,25,Male,SME,0.05,Operating
Education & Training,"Primary, secondary & tertiary schools",Product-based,Cooperative,2022,3,3,567706,46,Kigali,35,Female,Micro-enterprise,0.21,Operating
Public Administration & Defense,Government services,Service-based,Sole Proprietorship,2021,4,4,9588460,6,Musanze,24,Female,Startup,0.38,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Hybrid,Partnership,2020,5,5,5567748,1,Kigali,32,Female,Startup,0.26,Closed
Public Administration & Defense,Government services,Product-based,Limited Company,2008,17,17,8555092,20,Kigali,41,Male,Micro-enterprise,0.17,Operating
Professional & Business Services,"Advertising, media & marketing",Service-based,Sole Proprietorship,2014,11,0,1606214,11,Rusizi,52,Male,Micro-enterprise,-0.04,Closed
Hospitality & Tourism,Cultural & eco-tourism services,Service-based,Cooperative,2023,2,2,1159529,8,Kigali,52,Male,Startup,0.27,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Hybrid,Sole Proprietorship,2009,16,16,5525005,11,Musanze,32,Female,Startup,-0.13,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Service-based,Limited Company,2025,0,0,873062,16,Rubavu,50,Female,Startup,0.4,Operating
Professional & Business Services,"Advertising, media & marketing",Product-based,Sole Proprietorship,2024,1,1,8140656,19,Nyagatare,49,Male,Startup,0.41,Operating
Manufacturing,Paper & printing,Product-based,Partnership,2014,11,11,18234207,5,Rusizi,43,Female,Startup,0.09,Closed
